time,close,high,low,open,volumefrom,volumeto
1524499200,8944.02,8959.52,8931.49,8931.49,1695.27,15256602.24
1524495600,8931.49,8962.68,8924.52,8949.18,2128.81,19100668.88
1524492000,8949.18,8963.92,8895.44,8954.13,4441.8,39697887.69
1524488400,8954.13,8983.71,8948.01,8977.75,2532.39,22784527.39
1524484800,8977.75,9025.73,8941.83,8949.75,5641.3,50726097.27
1524481200,8949.75,8959.04,8913.75,8925.89,2218.94,19899979.43
1524477600,8925.87,8952.36,8909.77,8925.06,1976.02,17694433.79
1524474000,8925.03,8946.89,8881.93,8942.86,2450.46,21895449.55
1524470400,8942.86,8984.98,8935.03,8963.96,2389.52,21481817.54
1524466800,8964.69,8990.17,8926.65,8933.48,3609.49,32427342.61
1524463200,8931.33,8948.03,8887.41,8908.47,3305.33,29536418.06
1524459600,8909.02,8911.45,8870.2,8890.65,1350.81,12038553.17
1524456000,8890.65,8903.68,8871.42,8895.79,1279.96,11430610.61
1524452400,8895.01,8914.0,8880.8,8880.8,2346.72,20927189.17
1524448800,8880.8,8917.05,8862.45,8894.54,2474.5,22063263.06
1524445200,8894.54,8915.2,8827.02,8848.78,2379.67,21111662.41
1524445200,8894.54,8915.2,8827.02,8848.78,2379.67,21111662.41
1524441600,8848.78,8874.3,8804.2,8823.46,2029.37,18034012.29
1524438000,8823.36,8881.32,8788.44,8879.78,6449.41,56994009.2
1524434400,8879.78,8943.51,8856.24,8943.2,2781.31,24842088.96
1524430800,8943.08,8944.03,8909.95,8920.07,923.14,8288691.5
1524427200,8920.01,8948.92,8897.77,8906.08,1615.67,14442758.01
1524423600,8906.05,8986.94,8891.87,8986.03,4452.24,39882588.67
1524420000,8986.0,8990.09,8961.26,8970.6,1278.48,11547534.77
1524416400,8970.6,8995.99,8943.25,8946.86,1452.16,13077108.83
1524412800,8946.86,9043.98,8875.22,8965.4,6414.62,57477729.42
1524409200,8964.96,9009.09,8954.26,8994.51,2179.0,19659481.14
1524405600,8994.51,9021.06,8900.52,8900.62,3596.88,32336519.88
1524402000,8900.73,8933.77,8863.77,8881.65,2070.34,18521868.24
1524398400,8881.65,8983.23,8827.82,8953.26,5475.9,48706039.12
1524394800,8953.26,9040.07,8951.7,8971.23,4912.84,44322785.44
1524391200,8971.23,8972.53,8925.41,8925.41,1824.27,16411241.56
1524387600,8925.41,8990.79,8908.14,8959.62,3060.35,27631552.18
1524384000,8959.29,8977.97,8889.94,8890.74,4335.91,38873644.86
1524380400,8890.74,8916.63,8870.8,8905.96,1591.72,14207967.43
1524376800,8905.96,8906.49,8858.64,8859.59,1643.03,14805950.92
1524373200,8859.59,8903.65,8856.36,8865.89,2173.77,19409815.48
1524369600,8865.49,8865.82,8830.37,8846.22,1858.98,16504181.59
1524366000,8845.22,8888.07,8843.04,8874.59,1419.96,12637712.15
1524362400,8874.4,8884.73,8837.32,8841.1,1425.83,12692432.51
1524358800,8842.55,8857.31,8830.34,8847.1,2250.21,19942329.71
1524358800,8842.55,8857.31,8830.34,8847.1,2250.21,19942329.71
1524355200,8847.1,8938.29,8838.23,8935.85,3026.81,26967061.86
1524351600,8935.72,8947.46,8816.42,8825.66,4907.39,43770451.13
1524348000,8826.57,8839.42,8800.23,8803.61,1951.79,17388794.84
1524344400,8802.88,8825.02,8768.48,8793.65,1543.67,13647790.67
1524340800,8793.65,8808.87,8740.1,8808.33,2498.09,21998215.26
1524337200,8807.82,8827.35,8792.52,8800.09,1857.9,16420426.59
1524333600,8800.09,8830.88,8763.84,8784.37,1436.0,12679689.66
1524330000,8784.37,8822.97,8747.8,8787.05,2307.78,20377438.38
1524326400,8787.05,8880.88,8774.63,8838.87,4564.6,40431395.81
1524322800,8838.06,8850.5,8768.79,8768.79,3551.59,31421894.89
1524319200,8768.79,8802.35,8767.28,8774.92,2090.3,18438776.14
1524315600,8775.59,8788.9,8722.92,8778.38,2315.45,20383516.4
1524312000,8778.38,8791.06,8718.42,8731.4,3536.27,31073050.12
1524308400,8731.08,8732.41,8631.18,8731.63,7782.71,67808234.14
1524304800,8731.63,8775.66,8695.91,8734.5,4540.92,39834993.19
1524301200,8733.55,8824.72,8681.98,8821.52,7077.87,62141277.28
1524297600,8821.52,8903.65,8764.24,8897.13,10382.61,91894381.34
1524294000,8895.33,9047.82,8893.89,8942.1,9453.68,84989239.23
1524290400,8940.66,8955.12,8892.15,8892.41,3898.93,34917790.28
1524286800,8892.67,8892.97,8862.08,8875.12,1649.82,14703644.96
1524283200,8874.59,8891.38,8858.22,8884.06,1828.77,16327921.21
1524279600,8884.05,8929.78,8862.39,8864.67,3978.91,35464410.14
1524276000,8864.67,8886.67,8824.96,8835.96,2934.65,26083297.13
1524272400,8835.96,8842.41,8793.47,8842.0,3457.1,30591991.78
1524272400,8835.96,8842.41,8793.47,8842.0,3457.1,30591991.78
1524268800,8842.0,8884.95,8821.52,8877.15,4088.43,36284780.1
1524265200,8877.08,8902.02,8807.83,8863.44,7403.44,65807166.26
1524261600,8866.08,8945.14,8531.9,8532.11,18747.6,164940945.87
1524258000,8532.11,8562.35,8526.42,8540.18,2885.75,24700155.52
1524254400,8538.04,8541.02,8504.39,8532.66,2998.93,25660670.7
1524250800,8533.55,8552.46,8514.63,8521.95,2063.18,17698875.73
1524247200,8521.66,8541.43,8498.16,8511.48,2629.71,22499283.33
1524243600,8511.57,8535.03,8503.41,8527.16,1921.71,16436955.79
1524240000,8527.16,8529.68,8474.31,8483.76,3204.99,27370730.26
1524236400,8483.75,8517.04,8467.45,8516.11,3415.45,29058037.2
1524232800,8516.11,8529.16,8501.63,8518.69,2684.75,22948244.46
1524229200,8518.69,8546.16,8492.74,8537.93,4359.99,37286071.86
1524225600,8538.32,8575.66,8520.44,8532.31,4872.27,41782569.06
1524222000,8532.31,8545.43,8506.43,8515.46,4492.2,38419605.52
1524218400,8515.46,8550.71,8323.35,8333.32,12823.87,108774492.09
1524214800,8333.78,8344.3,8300.94,8324.57,2495.69,20908209.72
1524211200,8324.57,8366.06,8318.44,8345.78,2645.97,22205419.06
1524207600,8345.83,8368.66,8328.13,8329.29,5150.44,43075646.58
1524204000,8329.23,8335.79,8292.16,8300.03,2557.76,21297929.64
1524200400,8300.03,8317.61,8243.49,8282.92,3057.66,25407233.86
1524196800,8282.92,8361.76,8275.26,8360.89,5414.02,45160310.64
1524193200,8361.13,8376.89,8353.95,8355.44,2226.43,18688652.28
1524189600,8355.44,8415.48,8333.87,8384.67,6042.44,50707494.62
1524186000,8384.14,8392.52,8342.28,8372.47,3066.45,25725066.49
1524186000,8384.14,8392.52,8342.28,8372.47,3066.45,25725066.49
1524182400,8372.47,8392.41,8301.72,8301.82,7570.03,63435154.91
1524178800,8301.82,8314.58,8268.99,8288.31,1917.45,15955007.55
1524175200,8288.26,8316.6,8286.88,8299.21,2212.91,18434978.98
1524171600,8299.56,8301.27,8251.56,8258.83,2033.6,16908026.27
1524168000,8258.83,8280.5,8238.65,8277.06,2486.36,20629258.6
1524164400,8277.16,8301.95,8266.85,8298.3,2069.12,17138519.11
1524160800,8298.3,8312.35,8273.97,8285.42,2497.27,20780698.44
1524157200,8285.42,8321.01,8265.74,8269.46,3910.64,32462838.03
1524153600,8269.46,8308.19,8251.33,8251.98,4040.52,33532149.68
1524150000,8251.98,8261.45,8242.54,8256.19,1454.33,12068093.39
1524146400,8256.19,8290.98,8200.88,8256.34,5116.5,42261436.64
1524142800,8256.47,8272.53,8248.74,8261.7,2130.06,17704187.76
1524139200,8262.0,8271.03,8213.58,8230.09,2340.14,19376256.15
1524135600,8231.07,8267.11,8211.6,8260.0,1818.01,15050625.22
1524132000,8259.86,8288.09,8242.49,8252.4,2431.64,20152796.88
1524128400,8252.36,8275.47,8174.96,8206.07,3788.13,31309356.64
1524124800,8206.07,8259.65,8187.43,8191.57,3206.98,26462995.96
1524121200,8191.57,8258.01,8136.47,8199.67,4812.47,39579498.24
1524117600,8198.5,8228.54,8192.93,8207.31,2540.37,20981206.51
1524114000,8206.47,8213.05,8190.84,8210.37,2368.5,19648093.05
1524110400,8209.77,8216.82,8165.27,8214.9,2741.97,22553031.03
1524106800,8216.0,8243.64,8192.82,8241.97,3301.16,27183227.84
1524103200,8241.97,8293.55,8177.46,8209.81,6520.85,53873491.24
1524099600,8209.81,8225.37,8150.93,8171.87,4431.53,36317253.92
1524099600,8209.81,8225.37,8150.93,8171.87,4431.53,36317253.92
1524096000,8172.29,8194.76,8136.42,8189.92,2650.47,21736007.75
1524092400,8189.96,8201.85,8171.84,8182.15,2187.17,17957941.1
1524088800,8182.15,8231.89,8149.03,8216.67,4096.62,33684900.88
1524085200,8216.61,8216.94,8196.08,8204.74,1661.11,13753611.37
1524081600,8204.65,8246.57,8124.01,8136.63,7370.21,60552958.73
1524078000,8136.2,8145.35,8115.55,8125.99,1512.74,12342989.16
1524074400,8125.88,8139.7,8119.08,8119.17,1490.08,12179216.24
1524070800,8119.35,8147.93,8110.85,8137.01,3408.61,27798344.08
1524067200,8135.82,8157.1,8019.54,8019.98,5650.98,46076802.56
1524063600,8019.98,8035.61,7968.43,7990.11,5747.5,46149146.71
1524060000,7989.92,8126.79,7989.43,8121.38,3558.11,28733835.98
1524056400,8121.1,8136.19,8107.63,8120.38,2257.64,18423611.35
1524052800,8120.26,8144.48,8111.42,8130.5,2008.38,16390526.5
1524049200,8130.94,8134.02,8100.71,8120.84,2160.06,17598654.81
1524045600,8120.84,8133.0,8112.51,8122.28,1542.77,12619504.12
1524042000,8122.28,8127.67,8107.36,8109.71,1517.85,12391781.53
1524038400,8109.71,8144.69,8106.22,8137.65,2514.91,20491517.81
1524034800,8137.65,8181.28,8122.86,8152.46,5073.78,41432152.89
1524031200,8152.46,8156.97,7912.56,7951.55,8936.84,72078947.39
1524027600,7951.56,7969.57,7945.03,7948.77,1637.31,13092163.03
1524024000,7949.22,7970.8,7940.67,7969.13,1356.36,10856604.48
1524020400,7969.13,7969.84,7936.12,7939.33,1483.03,11853202.75
1524016800,7939.33,7979.55,7933.64,7965.34,1510.56,12098525.03
1524013200,7965.31,7980.18,7939.72,7941.82,2178.11,17457679.59
1524013200,7965.31,7980.18,7939.72,7941.82,2178.11,17457679.59
1524009600,7941.82,7952.79,7908.92,7921.65,2190.09,17492830.6
1524006000,7921.63,7934.78,7887.21,7932.84,2003.42,15939913.62
1524002400,7932.84,7943.8,7914.61,7941.49,2252.0,18000287.45
1523998800,7941.49,7961.0,7927.25,7944.92,2210.0,17629518.12
1523995200,7944.92,7959.11,7858.12,7914.1,5921.4,46892495.68
1523991600,7914.09,7982.22,7890.78,7980.17,9843.18,78014404.54
1523988000,7980.18,8136.25,7963.45,8134.65,5760.98,46264534.61
1523984400,8134.82,8152.36,8125.23,8148.4,2043.62,16690900.29
1523980800,8148.4,8157.59,8117.33,8118.71,2369.3,19343449.33
1523977200,8118.06,8144.0,8113.07,8141.72,1758.47,14352309.66
1523973600,8141.72,8154.73,8109.59,8126.62,2853.92,23406669.7
1523970000,8126.62,8141.93,8082.51,8126.43,2417.43,19711615.65
1523966400,8126.43,8169.13,8124.06,8139.09,3071.5,25157484.36
1523962800,8139.09,8140.3,8117.53,8120.38,1766.62,14446134.37
1523959200,8120.38,8177.28,8109.8,8170.97,3299.52,26924397.56
1523955600,8170.97,8185.86,8160.98,8164.52,2152.72,17667872.48
1523952000,8164.52,8184.59,8150.87,8150.87,2758.99,22609752.94
1523948400,8150.9,8187.6,8049.28,8050.4,6790.39,55421613.32
1523944800,8050.4,8065.35,8006.01,8008.19,2050.55,16581734.16
1523941200,8007.89,8051.9,8005.84,8047.28,1699.52,13759224.55
1523937600,8047.33,8062.52,8027.46,8059.02,1493.15,12079656.7
1523934000,8058.88,8068.4,8037.16,8060.36,1449.15,11735811.9
1523930400,8060.36,8065.0,8001.1,8059.52,2320.15,18733880.26
1523926800,8058.77,8083.4,8043.08,8065.35,2058.99,16672722.24
1523926800,8058.77,8083.4,8043.08,8065.35,2058.99,16672722.24
1523923200,8065.21,8090.44,8041.04,8079.77,1588.64,12844117.35
